DocumentDate,PropertyType,SqFtLot
2006-11-21,Single Family,
2007-04-16,Townhouse,937.0
2006-01-18,,13167.0
2014-03-20,Single Family,8428.0
2011-07-26,Single Family,6000.0
2007-06-18,Single Family,8060.0
2006-10-25,Single Family,7199.0
2010-10-06,Single Family,9200.0
2013-07-26,Single Family,13770.0
2006-08-18,Single Family,7043.0
2007-06-05,Single Family,11800.0
2006-02-22,Single Family,9605.0
2012-07-13,Single Family,21680.0
2006-10-30,Single Family,13494.0
2008-09-25,Single Family,7440.0
2008-03-13,Single Family,4840.0
2006-12-01,Single Family,6500.0
2007-11-30,Single Family,7748.0
2007-11-21,,3296.0
2007-07-19,Single Family,5850.0
2008-10-17,Single Family,4643.0
2013-06-13,Single Family,6550.0
2006-06-19,Single Family,6099.0
2009-02-20,Single Family,14023.0
2010-07-26,Single Family,42775.0
2008-06-26,Single Family,5240.0
2006-11-02,Single Family,7373.0
2006-06-13,Single Family,13770.0
2009-06-08,Single Family,10500.0
2006-01-24,,7779.0
2007-01-11,,14837.0
2010-04-05,Single Family,8250.0
2011-01-26,Single Family,7800.0
2008-01-18,Single Family,14850.0
2007-07-19,Single Family,8250.0
2013-09-10,Single Family,220414.0
2009-08-14,Single Family,
2009-06-23,Single Family,5664.0
2007-06-18,Single Family,13927.0
2008-11-18,Single Family,7432.0
2009-09-11,Single Family,9478.0
2006-11-22,Single Family,3256.0
2007-10-23,Single Family,11216.0
2006-02-14,Single Family,7121.0
2006-09-15,Single Family,6120.0
2006-06-12,Single Family,10377.0
2006-03-22,Single Family,7422.0
2009-08-27,Single Family,6671.0
2006-01-05,Single Family,10500.0
2006-08-04,Single Family,12558.0
2007-06-20,Single Family,3000.0
2008-06-25,Single Family,5803.0
2010-07-09,Single Family,5320.0
2006-12-01,Single Family,8653.0
2011-03-03,Single Family,18009.0
2006-08-29,Single Family,
2014-05-09,Single Family,4597.0
2008-09-23,Single Family,4052.0
2007-06-14,Single Family,40105.0
2006-05-01,Single Family,7627.0
2007-11-12,Single Family,4892.0
2010-03-09,,56236.0
2007-02-08,Single Family,8034.0
2009-03-23,Single Family,4700.0
2011-01-04,Single Family,6095.0
2010-07-19,Single Family,3600.0
2007-08-28,Single Family,5000.0
2007-06-18,Single Family,8111.0
2006-07-24,Single Family,7128.0
2006-09-22,Single Family,5120.0
2007-11-30,Single Family,11250.0
2008-03-18,Single Family,6000.0
2014-09-16,Multiplex,9373.0
2006-05-08,Single Family,4080.0
2012-03-12,Single Family,7561.0
2006-09-18,Single Family,6184.0
2007-03-21,Single Family,10125.0
2010-03-24,Single Family,9800.0
2010-06-21,Single Family,5393.0
2006-11-27,Single Family,7182.0
2006-04-24,Single Family,20794.0
2010-01-27,Single Family,33305.0
2009-09-29,Single Family,11430.0
2008-12-26,Single Family,45738.0
2007-09-05,Single Family,4844.0
2006-11-06,Single Family,99316.0
2010-06-18,Single Family,7128.0
2007-11-26,Single Family,9001.0
2015-01-22,Single Family,7210.0
2007-05-01,Single Family,41159.0
2013-05-13,Single Family,7334.0
2006-05-23,Single Family,7350.0
2007-11-01,Single Family,12966.0
2006-04-24,Townhouse,2201.0
2007-06-05,Single Family,7974.0
2006-11-27,Single Family,17584.0
2014-07-01,,4320.0
2010-04-22,Single Family,
2007-07-19,Single Family,5500.0
2012-07-11,Single Family,5724.0
2007-02-01,Single Family,4643.0
2010-01-28,Single Family,6172.0
2006-08-18,Single Family,6300.0
2008-05-20,Single Family,8363.0
2006-09-26,Single Family,9924.0
2007-08-16,Single Family,10296.0
2006-05-11,Single Family,31500.0
2009-08-17,Single Family,5080.0
2014-06-03,Single Family,12000.0
2006-10-03,Single Family,10500.0
2006-07-05,Multiplex,9100.0
2012-08-23,Single Family,22482.0
2006-09-27,Single Family,5360.0
2010-01-28,Single Family,4500.0
2006-03-30,Single Family,18090.0
2010-01-27,Single Family,8168.0
2006-07-10,Single Family,5720.0
2006-02-27,Single Family,6419.0
2015-04-03,Single Family,9848.0
2006-07-27,Single Family,8304.0
2007-07-02,Single Family,10454.0
2007-04-05,Single Family,59677.0
2007-02-21,Single Family,7700.0
2011-07-08,Single Family,8742.0
2006-07-18,Single Family,7052.0
2006-10-25,Single Family,9293.0
2010-01-15,Single Family,7541.0
2008-08-26,Single Family,9185.0
2006-11-21,Single Family,12540.0
2013-01-29,Single Family,10500.0
2009-08-24,Single Family,8448.0
2006-06-19,Single Family,35112.0
2012-06-04,Single Family,7257.0
2006-04-25,Single Family,3577.0
2006-04-06,Single Family,
2006-02-28,Single Family,7909.0
2006-06-21,Single Family,6974.0
2007-01-04,Single Family,14942.0
2006-08-10,Single Family,3363.0
2006-06-16,Single Family,5098.0
2006-06-22,Single Family,2808.0
2007-03-27,Single Family,18910.0
2007-09-20,Single Family,8629.0
2008-12-26,Single Family,3210.0
2008-02-25,Single Family,6000.0
2006-10-24,Single Family,9450.0
2010-06-16,Single Family,6866.0
2011-06-30,Single Family,9525.0
2007-08-27,Single Family,11391.0
2007-07-11,Single Family,10911.0
2006-03-23,Single Family,6550.0
2006-10-24,Multiplex,7200.0
2006-04-01,Townhouse,1471.0
2006-07-10,Single Family,7134.0
2006-06-06,Single Family,11736.0
2006-07-17,Single Family,7210.0
2012-10-10,Single Family,19568.0
2007-08-08,Single Family,13681.0
2006-08-01,Townhouse,1634.0
2007-11-15,Single Family,6356.0
2008-01-24,Single Family,8658.0
2011-08-29,Single Family,6600.0
2007-12-12,Single Family,17335.0
2008-05-09,Single Family,19570.0
2014-04-10,Single Family,5512.0
2006-06-05,Single Family,3920.0
2008-10-23,Single Family,9473.0
2014-08-19,Single Family,5368.0
2009-04-21,Single Family,4109.0
2010-12-16,Single Family,9586.0
2007-04-16,Single Family,16600.0
2009-07-23,Single Family,21222.0
2008-01-14,Single Family,9012.0
2011-04-07,Single Family,47916.0
2008-06-30,Single Family,7350.0
2006-08-08,Single Family,5700.0
2010-01-13,Single Family,5201.0
2006-07-28,Single Family,101930.0
2007-07-05,Single Family,7680.0
2012-06-28,Single Family,8740.0
2007-07-27,Single Family,9306.0
2006-07-24,Single Family,11250.0
2008-05-19,Single Family,6654.0
2007-02-24,Single Family,3485.0
2006-05-26,Single Family,8030.0
2010-12-30,,9750.0
2008-09-02,Single Family,8186.0
2006-12-13,Single Family,10952.0
2011-11-09,Single Family,
2010-11-17,Single Family,7800.0
2007-02-02,Single Family,4000.0
2009-06-29,Single Family,7368.0
2007-05-09,Single Family,5750.0
2011-09-01,Single Family,60548.0
2006-08-28,Single Family,5000.0
2006-06-13,Single Family,9702.0
2010-05-14,Single Family,24904.0
2006-05-22,Single Family,10365.0
2007-07-05,Single Family,9293.0
2006-05-30,Single Family,4017.0
2006-04-28,Single Family,9750.0
2006-11-03,Single Family,8140.0
2006-05-01,Single Family,6300.0
2006-10-03,Single Family,5054.0
2008-02-25,Single Family,6000.0
2008-05-30,Single Family,10125.0
2006-06-29,Single Family,47480.0
2006-07-10,Single Family,10200.0
2013-11-20,,53143.0
2012-09-26,Single Family,7440.0
2006-05-16,Single Family,7380.0
2007-02-13,Single Family,15168.0
2006-10-05,Single Family,7272.0
2008-02-08,Single Family,7208.0
2009-03-12,Single Family,
2007-10-17,Single Family,20185.0
2009-04-21,Single Family,21546.0
2012-04-11,Single Family,8168.0
2006-08-01,Single Family,3495.0
2006-05-16,Single Family,7881.0
2010-04-05,,50233.0
2006-12-11,Single Family,3565.0
2009-10-05,Single Family,2728.0
2012-11-01,Townhouse,1225.0
2006-02-03,Single Family,141570.0
2009-06-24,,7727.0
2006-09-06,Single Family,8500.0
2007-07-25,Single Family,217800.0
2006-08-28,Single Family,27468.0
2006-07-10,Single Family,17335.0
2007-11-09,Single Family,4600.0
2006-03-23,Single Family,13579.0
2011-04-18,Single Family,5238.0
2006-08-03,Townhouse,1705.0
2008-04-16,Single Family,74052.0
2013-08-28,Single Family,40755.0
2006-11-16,Single Family,8808.0
2007-06-20,Single Family,4000.0
2012-03-02,,7201.0
2007-02-27,Single Family,6011.0
2006-11-27,Single Family,5000.0
2006-04-26,Single Family,7338.0
2009-11-16,Townhouse,1363.0
2007-05-09,Single Family,5500.0
2006-10-31,Single Family,8119.0
2013-07-25,Single Family,11367.0
2007-09-19,Single Family,8285.0
2007-08-21,Single Family,15000.0
2007-09-18,Single Family,5875.0
2007-10-01,Single Family,4087.0
2006-07-10,Single Family,8141.0
2009-11-16,Single Family,11000.0
2006-04-04,Single Family,7500.0
2006-02-13,Single Family,9379.0
2007-04-12,Single Family,9411.0
2008-05-20,,12378.0
2006-06-14,Single Family,12364.0
2006-05-23,Single Family,7500.0
2010-05-28,Single Family,8428.0
2013-03-29,Single Family,8620.0
2013-04-05,Single Family,8653.0
2006-10-03,Single Family,9520.0
2008-09-15,Single Family,5100.0
2006-08-10,Single Family,42060.0
2006-12-07,Single Family,7500.0
2008-07-07,Single Family,16240.0
2007-03-21,Single Family,8860.0
2006-11-15,Single Family,8131.0
2008-08-26,Single Family,7451.0
2006-06-15,Single Family,7980.0
2008-04-21,Single Family,9093.0
2008-08-25,Single Family,12003.0
2006-03-07,Single Family,10499.0
2007-06-18,Single Family,8111.0
2006-08-28,Single Family,3696.0
2006-10-23,Single Family,6320.0
2007-04-24,,7210.0
2008-04-22,Single Family,6050.0
2006-12-26,Single Family,6635.0
2007-08-03,Single Family,7875.0
2009-05-04,Townhouse,2290.0
2007-04-18,Single Family,5000.0
2009-06-23,Single Family,5000.0
2006-09-28,Single Family,7350.0
2006-06-08,Single Family,6186.0
2006-04-14,Single Family,12627.0
2008-01-07,Single Family,9594.0
2012-02-10,Single Family,9600.0
2007-07-09,Single Family,13042.0
2006-08-28,Single Family,4196.0
2008-10-28,Single Family,15069.0
2006-07-10,Single Family,36649.0
2013-06-12,Single Family,8440.0
2006-01-23,,15124.0
2010-04-12,Single Family,3718.0
2006-10-13,Single Family,9282.0
2007-05-21,Single Family,8946.0
2006-09-06,Townhouse,1037.0
2006-04-12,Single Family,17859.0
2008-06-20,Single Family,7680.0
2006-08-08,,10196.0
2006-09-05,Single Family,7875.0
2010-05-04,Single Family,4500.0
2012-07-06,Single Family,2808.0
2007-06-06,Single Family,30964.0
2008-09-25,Single Family,43216.0
2006-10-26,Single Family,11880.0
2007-02-14,Multiplex,6435.0
2014-05-21,Single Family,5240.0
2006-08-28,Single Family,7201.0
2007-10-17,Single Family,6400.0
2013-07-15,Single Family,6450.0
2006-08-25,Single Family,12994.0
2012-03-12,Single Family,8400.0
2010-04-12,Single Family,3718.0
2006-10-05,Single Family,8736.0
2009-07-31,Single Family,7000.0
2006-01-24,Single Family,10956.0
2011-07-06,Single Family,24583.0
2007-05-29,Townhouse,1264.0
2009-09-11,Single Family,8800.0
2006-08-31,Single Family,6000.0
2013-11-20,Single Family,22359.0
2006-10-16,Single Family,5500.0
2006-08-18,Single Family,4597.0
2006-06-12,Single Family,8631.0
2007-05-16,Single Family,13500.0
2007-06-19,Single Family,4000.0
2011-06-20,,4440.0
2006-07-10,Single Family,5856.0
2007-01-16,Single Family,6930.0
2008-03-20,Single Family,24034.0
2007-04-19,Single Family,2986.0
2009-05-20,Single Family,2726.0
2006-07-07,Single Family,4109.0
2007-04-02,Single Family,3245.0
2006-07-28,Single Family,5000.0
2008-07-16,Single Family,5803.0
2010-08-16,Single Family,15168.0
2014-10-16,Single Family,12750.0
2007-04-16,Single Family,4774.0
2008-03-20,Single Family,18958.0
2007-08-21,Single Family,5569.0
2011-06-23,Single Family,10800.0
2006-05-25,Single Family,7224.0
2007-08-24,Single Family,
2013-11-06,,10450.0
2007-04-11,Single Family,5000.0
2007-02-16,Single Family,5141.0
2011-01-07,Single Family,13412.0
2006-07-03,Single Family,8400.0
2006-02-23,Single Family,31774.0
2010-06-07,Single Family,3600.0
2008-04-17,Single Family,15200.0
2014-06-23,Single Family,9450.0
2009-05-20,Single Family,8266.0
2010-11-16,Single Family,10752.0
2006-07-29,Single Family,19350.0
2007-05-17,Single Family,3500.0
2008-08-14,Single Family,6550.0
2006-11-16,Single Family,9727.0
2006-02-08,Single Family,74320.0
2010-12-05,Single Family,7210.0
2006-03-16,Single Family,9072.0
2006-01-18,Single Family,8640.0
2007-05-30,Single Family,6552.0
2007-04-10,Single Family,10350.0
2007-07-15,Single Family,7370.0
2007-06-29,Single Family,7257.0
2011-12-02,Single Family,9948.0
2008-08-25,Single Family,198198.0
2010-11-17,Single Family,1462.0
2006-06-21,Single Family,5000.0
2006-08-18,Single Family,5200.0
2013-06-11,Single Family,3000.0
2007-03-16,Single Family,3914.0
2008-03-20,Single Family,7020.0
2008-02-28,Single Family,15297.0
2007-06-04,Single Family,9605.0
2006-07-06,Single Family,7470.0
2007-12-11,Single Family,5880.0
2008-06-30,Single Family,7340.0
2012-12-17,Single Family,8750.0
2007-12-27,Single Family,15644.0
2008-07-11,Single Family,7700.0
2007-04-10,Single Family,214315.0
2012-07-27,Single Family,10656.0
2010-07-12,Single Family,9641.0
2006-04-20,Single Family,10125.0
2006-04-21,Single Family,5460.0
2007-04-03,Single Family,6866.0
2012-07-16,Single Family,5569.0
2008-01-04,Single Family,5586.0
2013-07-12,Single Family,3500.0
2008-07-01,Townhouse,1838.0
2008-04-04,Townhouse,1037.0
2010-06-09,Single Family,3393.0
2012-09-25,Single Family,1170.0
2012-01-30,Single Family,4000.0
2007-03-06,Single Family,10758.0
2007-04-04,Single Family,7024.0
2011-03-29,Single Family,2796.0
2006-02-16,Single Family,8075.0
2007-05-11,Single Family,16237.0
2007-04-13,Single Family,5000.0
2006-12-21,Single Family,7386.0
2006-04-12,Single Family,19602.0
2006-02-07,Single Family,14928.0
2006-06-22,Single Family,3653.0
2014-04-22,Single Family,
2006-05-22,Single Family,6500.0
2007-06-22,Single Family,
2010-09-02,Single Family,6000.0
2011-03-02,Single Family,4296.0
2006-06-28,Single Family,55088.0
2007-03-27,Single Family,4025.0
2006-08-31,Single Family,64904.0
2006-03-08,Single Family,
2010-03-04,Single Family,10454.0
2006-04-04,Single Family,4543.0
2006-06-06,Single Family,6000.0
2008-06-11,Single Family,9889.0
2006-08-16,Single Family,9695.0
2007-06-15,,43560.0
2006-08-07,Single Family,2790.0
2007-10-23,Single Family,33305.0
2006-04-25,Single Family,7045.0
2006-11-02,Single Family,5702.0
2008-09-24,Single Family,8850.0
2006-04-25,Multiplex,44083.0
2007-04-30,Single Family,33300.0
2011-09-13,Single Family,6132.0
2013-09-23,Single Family,8456.0
2010-12-20,Single Family,7840.0
2007-03-07,Single Family,6148.0
2006-05-22,,15709.0
2008-12-09,,7883.0
2008-03-19,Single Family,16750.0
2009-08-07,Single Family,5106.0
2006-02-28,Single Family,6000.0
2008-04-30,Single Family,8908.0
2006-02-23,,9021.0
2006-11-09,Single Family,15151.0
2014-08-20,Single Family,3900.0
2007-08-23,Single Family,5000.0
2011-03-31,Single Family,3600.0
2006-02-17,Single Family,3680.0
2007-07-30,Single Family,6300.0
2006-11-10,Single Family,9137.0
2011-03-22,Single Family,6120.0
2010-04-16,Single Family,5664.0
2008-10-06,Single Family,42800.0
2007-03-06,Single Family,9525.0
2006-08-08,Single Family,7906.0
2012-04-18,Single Family,7437.0
2007-11-07,Single Family,16531.0
2006-06-02,Single Family,18304.0
2006-06-20,Single Family,7480.0
2008-02-25,Single Family,20383.0
2008-03-26,Single Family,4000.0
2008-04-08,Single Family,43703.0
2007-07-24,Single Family,10890.0
2006-12-07,Single Family,7813.0
2007-01-29,Single Family,4552.0
2009-07-24,Single Family,3600.0
2010-03-25,Single Family,6313.0
2006-10-05,Single Family,6200.0
2006-03-20,Single Family,29228.0
2006-12-14,,10800.0
2007-09-18,Single Family,6713.0
2009-11-11,Single Family,14205.0
2006-07-25,Single Family,6293.0
2009-05-21,Single Family,8395.0
2006-10-19,Single Family,5900.0
2010-04-09,Single Family,5000.0
2006-05-19,Single Family,7504.0
2007-04-19,Single Family,7339.0
2006-05-31,Single Family,5200.0
2007-11-27,Single Family,101494.0
2007-07-09,Single Family,26742.0
2006-05-30,Single Family,6165.0
2007-07-19,Single Family,9000.0
2006-04-14,Single Family,7719.0
2006-09-25,Single Family,7320.0
2007-05-23,Single Family,12758.0
2006-05-02,Single Family,5453.0
2007-05-02,Multiplex,6675.0
2006-05-02,Single Family,12075.0
2007-08-16,Multiplex,7245.0
2006-09-15,Single Family,6500.0
2012-06-28,Single Family,9702.0
2006-05-31,Single Family,7695.0
2011-06-30,Single Family,8422.0
2006-02-16,Single Family,8391.0
2006-05-01,Single Family,43560.0
2014-08-12,Single Family,5750.0
2010-03-17,Single Family,12297.0
2006-05-09,Multiplex,4718.0
2013-12-19,Single Family,6637.0
2007-08-23,Single Family,230868.0
